No	| English	| Vietnamese
1162	| flash	| loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
1163	| flat	| bằngphẳng,bẹt,nhẵn;dãyphòng,cănphòng,mặtphẳng
1164	| flavour	| vị, mùi; cho gia vị, làm tăng thêm mùi vị
1165	| flesh	| thịt
1166	| flight	| sự bỏ chạy, rút chạy; sự bay, chuyến bay
1167	| float	| nổi, trôi, lơ lửng
1168	| flood	| lụt, lũ lụtl; tràn đầy, tràn ngập
1169	| floor	| sàn, tầng (nhà)
1170	| flour	| bột, bột mỳ
1171	| flow	| sự chảy; chảy
1172	| flower	| hoa, bông, đóa, cây hoa
1173	| flu	| bệnh cúm
1174	| fly	| bay; sự bay, quãng đường bay
1175	| flying	| biết bay; sự bay, chuyến bay
1176	| focus	| tập trung; trung tâm, trọng tâm ((n)bóng)
1177	| fold	| gấp, vén, xắn; nếp gấp
1178	| folding	| gấp lại được
1179	| follow	| đi theo sau, theo, tiếp theo
1180	| following	| tiếp theo, theo sau, sau đây; sau, tiếp theo
1181	| food	| đồ ăn, thức, món ăn
1182	| foot	| chân, bàn chân
1183	| football	| bóng đá
1184	| for	| cho, dành cho...
1185	| force	| sức mạnh; ép buộc, cưỡng ép
1186	| forecast	| sự dự đoán, dự báo; dự đoán, dự báo
1187	| foreign	| (thuộc) nước ngoài, tư nước ngoài, ở nước ngoài
1188	| forest	| rừng
1189	| forever	| mãi mãi
1190	| forget	| quên
1191	| forgive	| tha,thathứ
1192	| fork	| cái nĩa
1193	| form	| hình thể, hình dạng, hình thức; làm thành, được tạo thành
1194	| formal	| hình thức
1195	| formally	| chính thức
1196	| former	| trước, cũ, xưa, nguyên
1197	| formerly	| trướcđây,thuởxưa
1198	| formula	| công thức, thể thức, cách thức
1199	| fortune	| sự giàu có, sự thịnh vượng
1200	| forward	| ở phía trước, tiến về phía trước
1201	| forward, forwards	| về tương lai, sau này ở phía trước, tiến về phía trước
1202	| found	| tìm, tìm thấy
1203	| foundation	| sựthànhlập, sựsánglập;tổchức
1204	| frame	| cấu trúc, hệ thống; dàn xếp, bố trí
1205	| free	| miễn phí, tự do, giải phóng, trả tự do
1206	| freedom	| sự tự do; nền tự do
1207	| freely	| tự do, thoải mái
1208	| freeze	| đóng băng, đông lạnh
1209	| frequent	| thường xuyên
1210	| frequently	| thường xuyên
1211	| fresh	| tươi, tươi tắn
1212	| freshly	| tươi mát, khỏe khoắn
1213	| friday (abbr fri)	| thứ sáu
1214	| fridge	| tủ lạnh
1215	| friend	| người bạn
1216	| friendly	| thân thiện, thân mật
1217	| friendship	| tình bạn, tình hữu nghị
1218	| frighten	| làm sợ, làm hoảng sợ
1219	| frightened	| hoảng sợ, khiếp sợ
1220	| frightening	| kinh khủng, khủng khiếp
1221	| from	| frəm/ tư
1222	| front	| mặt; đằngtrước,vềphíatrước.infront(of):ởphíatrước
1223	| frozen	| lạnh giá
1224	| fruit	| quả, trái cây
1225	| fry	| rán,chiên; thịtrán
1226	| fuel	| chất đốt, nhiên liệu
1227	| full	| đầy, đầy đủ
1228	| fully	| đầy đủ, hoàn toàn
1229	| fun	| sự vui đùa, sự vui thích; hài hước make fun of: đùa cợt, chế giễu, chế nhạo
1230	| function	| chứcnăng;họat động,chạy(máy)
1231	| fund	| kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
1232	| fundamental	| cơ bản, cơ sở, chủ yếu
1233	| funeral	| lễ tang, đám tang
1234	| funny	| buồn cười, khôi hài
1235	| fur	| bộ da lông thú
1236	| furniture	| đồ đạc (trong nhà)
1237	| further	| xa hơn nữa; thêm nữa
1238	| further, furthest	| cấp so sánh của far
1239	| future	| tương lai
1240	| gain	| lợi, lợi ích; giành được, kiếm được, đạt tới
1241	| gallon	| galông1gl = 4, 54lítởanh,3, 78lítởmỹ
1242	| gamble	| đánh bạc; cuộc đánh bạc
1243	| gambling	| trò cờ bạc
1244	| game	| trò chơi
1245	| gap	| đèo, lỗ hổng, kẽ hở; chỗ trống
1246	| garage	| nhà để ô tô
1247	| garbage	| lòng, ruột (thú)
1248	| garden	| vườn
1249	| gas	| khí, hơi đốt
1250	| gasoline	| dầu lửa, dầu hỏa, xăng
1251	| gate	| cổng
1252	| gather	| tập hợp; hái, lượm, thu thập
1253	| gear	| cơcấu,thiếtbị,dụngcụ
1254	| general	| chung, chung chung; tổng
1255	| generally	| nói chung, đại thể. in general: nói chung, đại khái
1256	| generate	| sinh, đẻ ra
1257	| generation	| sự sinh ra, sự phát sinh ra; thế hệ đời
1258	| generous	| rộng lượng, khoan hồng, hào phóng
1259	| generously	| rộng lượng, hào phóng
1260	| gentle	| hiền lành, dịu dàng, nhẹ nhàng
1261	| gentleman	| ngườiquýphái, ngườithượnglưu
1262	| gently	| nhẹ nhàng, êm ái, dịu dàng
1263	| genuine	| thành thật, chân thật; xác thực
1264	| genuinely	| thành thật, chân thật
1265	| geography	| địa lý, khoa địa lý
1266	| get	| được, có được. get on leo, trèo lên. get off: ra khỏi, thoát khỏi
1267	| giant	| ngườikhổnglồ,ngườiphithườngkhổnglồ,phithường
1268	| gift	| quà tặng
1269	| girl	| con gái
1270	| girlfriend	| bạn gái, người yêu
1271	| give	| cho,biếu,tặng.give sthawaychophát.give sthout:chia,phân phối give(sth)upbỏ,tưbỏ
1272	| give birth	| sinh ra
1273	| glad	| vui lòng, sung sướng
1274	| glass	| kính, thủy tinh, cái cốc, ly
1275	| glasses	| kính đeo mắt
1276	| global	| toàn cầu, toàn thể, toàn bộ
1277	| glove	| bao tay, găng tay
1278	| glue	| keo,hồ;gắn lại, dánbằngkeo,hồ
1279	| go	| đi. go down: đi xuống. go up: đi lên. be going to sắp sửa, có ý địn
1280	| goal	| mục đích,bànthắng,khungthành
1281	| god	| thần, chúa
1282	| gold	| vàng; bằng vàng
1283	| good	| tốt, hay, tuyệt; điều tốt, điều thiện. good at: tiến bộ ở. good for: có lợi cho
1284	| good, well	| tốt, khỏe
1285	| goodbye	| tạm biệt; lời chào tạm biệt
1286	| goods	| của cải, tài sản, hàng hóa
1287	| govern	| cai trị, thống trị, cầm quyền
1288	| government	|  chính phủ, nội các; sự cai trị
1289	| governor	| thủ lĩnh, chủ; kẻ thống trị
1290	| grab	| túm lấy, vồ, chộp lấy
1291	| grade	| điểm, điểm số; phân loại, xếp loại
1292	| gradual	| dần dần, tưng bước một
1293	| gradually	| dần dần, tư tư
1294	| grain	| thóc lúa, hạt, hột; tính chất, bản chất
1295	| gram	| đậu xanh
1296	| gram, gramme (abbr g, gm)	| ngữ pháp
1297	| grammar	| văn phạm
1298	| grand	| rộnglớn,vĩđại
1299	| grandchild	| cháu (của ông bà)
1300	| granddaughter	| cháu gái
1301	| grandfather	| ông
1302	| grandmother	| bà
1303	| grandparent	| ông bà
1304	| grandson	| cháu trai
1305	| grant	| cho,bán,cấp; sựcho,sựbán,sự cấp
1306	| grass	| cỏ; bãi cỏ, đồng cỏ
1307	| grateful	| biết ơn, dễ chịu, khoan khoái
1308	| grave	| mộ, dấu huyền; trang nghiêm, nghiêm trọng
1309	| gray	| xám, hoa râm (tóc)
1310	| great	| to, lớn, vĩ đại
1311	| greatly	| rất, lắm; cao thượng, cao cả
1312	| green	| xanh lá cây
1313	| grey	| xám, hoa râm (tóc)
1314	| grey, usually gray	| màu xám
1315	| groceries	| hàng tạp hóa
1316	| grocery	| cửa hàng tạp phẩm
1317	| ground	| mặt đất, đất, bãi đất
1318	| group	| nhóm
1319	| grow	| mọc, mọc lên. grow up lớn lên, trưởng thành
1320	| growth	| sự lớn lên, sự phát triển
1321	| guarantee	| sự bảohành,bảolãnh,người bảolãnh;camđoan,bảođảm
1322	| guard	| cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
1323	| guess	| đoán, phỏng đoán; sự đoán, sự ước chưng
1324	| guest	| khách, khách mời
1325	| guide	| điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
1326	| guilty	| có tội, phạm tội, tội lỗi
1327	| gun	| súng
1328	| guy	| bù nhìn, anh chàng, gã
1329	| habit	| thói quen, tập quán
1330	| hair	| tóc
1331	| hairdresser	| thợ làm tóc
1332	| half	| một nửa, phần chia đôi, nửa giờ; nửa
1333	| hall	| đại sảnh, tòa (thị chính), hội trường
1334	| hammer	| búa
1335	| hand	| tay, bàn tay; trao tay, truyền cho
1336	| handle	| cầm, sờ mó; tay cầm, móc quai
1337	| hang	| treo, mắc
1338	| happen	| xảy ra, xảy đến
1339	| happily	| sung sướng, hạnh phúc
1340	| happiness	| sự sung sướng, hạnh phúc
1341	| happy	| vui sướng, hạnh phúc
1342	| hard	| cứng,rắn,hàkhắc;hếtsức cốgắng,tíchcực
1343	| hardly	| khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
1344	| harm	| thiệt hại, tổn hao; làm hại, gây thiệt hại
1345	| harmful	| gây tai hại, có hại
1346	| harmless	| không có hại
1347	| hat	| cái mũ
1348	| hate	| ghét; lòng căm ghét, thù hận
1349	| hatred	| lòng căm thì, sự căm ghét
1350	| have	| có
1351	| have to	| phải (bắt buộc, có bổn phận phải)
1352	| he	| nó, anh ấy, ông ấy
1353	| head	| cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
1354	| headache	| chứng nhức đầu
1355	| heal	| chữa khỏi, làm lành
1356	| health	| sức khỏe, thể chất, sự lành mạnh
1357	| healthy	| khỏe mạnh, lành mạnh
1358	| hear	| nghe
1359	| hearing	| sự nghe, thính giác
1360	| heart	| tim, trái tim
1361	| heat	| hơi nóng, sức nóng
1362	| heating	| sự đốt nóng, sự làm nóng
1363	| heaven	| thiên đường
1364	| heavily	| nặng, nặng nề
1365	| heavy	| nặng, nặng nề
1366	| heel	| gót chân
1367	| height	| chiều cao, độ cao; đỉnh, điểm cao
1368	| hell	| địa ngục
1369	| hello	| chào, xin chào; lời chào
1370	| help	| giúp đỡ; sự giúp đỡ
1371	| helpful	| có ích; giúp đỡ
1372	| hence	| sauđây,kểtừ đây;do đó,vìthế
1373	| her	| nó, chị ấy, cô ấy, bà ấy
1374	| here	| đây, ở đây
1375	| hero	| người anh hùng
1376	| hers	| cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
1377	| herself	| chính nó, chính cô ta, chính chị ta chính bà ta
1378	| hesitate	| ngập ngưng, do dự
1379	| hi	| xin chào
1380	| hide	| trốn, ẩn nấp; che giấu
1381	| high	| cao, ở mức độ cao
1382	| highlight	| làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
1383	| highly	| tốt, cao; hết sức, ở mức độ cao
1384	| highway	| đường quốc lộ
1385	| hill	| đồi
1386	| him	| nó, hắn, ông ấy, anh ấy
1387	| himself	| chínhnó,chínhhắn,chínhôngta,chínhanhta
1388	| hip	| hông
1389	| hire	| thuê, cho thuê (nhà...); sự thuê, sự cho thuê
1390	| his	| của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
1391	| historical	| lịch sử, thuộc lịch sử
1392	| history	| lịch sử, sử học
1393	| hit	| đánh, đấm, ném trúng; đòn, cú đấm
1394	| hobby	| sở thích riêng
1395	| hold	| cầm, nắm, giữ; sự cầm, sự nắm giữ
1396	| hole	| lỗ,lỗ trống;hang
1397	| holiday	| ngày lễ, ngày nghỉ
1398	| hollow	| rỗng, trống rỗng
1399	| holy	| linh thiêng; sùng đạo
1400	| home	| nhà; ở tại nhà, nước mình
1401	| homework	| bài tập về nhà (học sinh), công việc làm ở nhà
1402	| honest	| lương thiện, trung thực, chân thật
1403	| honestly	| lương thiện, trung thực, chân thật
1404	| honour	| danhdự,thanhdanh, lòngkínhtrọng.inhonour/honorof: đểtỏlòngtôn kính, trân trọng đối với
1405	| hook	| cái móc; bản lề; lưỡi câu
1406	| hope	| hy vọng; nguồn hy vọng
1407	| horizontal	| (thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)
1408	| horn	| sừng (trâu, bò...)
1409	| horror	| điều kinh khủng, sự ghê rợn
1410	| horse	| ngựa
1411	| hospital	| bệnh viện, nhà thương
1412	| host	| chủnhà,chủtiệc; dẫn(c.trình),đăngcaitổchức(hộinghị)
1413	| hot	| nóng, nóng bức
1414	| hotel	| khách sạn
1415	| hour	| giờ
1416	| house	| nhà, căn nhà, toàn nhà
1417	| household	| hộ, gia đình; (thuộc) gia đình
1418	| housing	| nơi ăn chốn ở
1419	| how	| thế nào, như thế nào, làm sao, ra sao
1420	| however	| tuy nhiên, tuy vậy, dù thế nào
1421	| huge	| to lớn, khổng lồ
1422	| human	| (thuộc) con người, loài người
1423	| humorous	| hài hước, hóm hỉnh
1424	| humour	| sự hài hước, sự hóm hỉnh
1425	| hungry	| đói
1426	| hunt	| săn, đi săn
1427	| hunting	| sự đi săn
1428	| hurry	| sựvộivàng,sự gấprút.inahurry:vộivàng,hối hả,gấprút
1429	| hurt	| làm bị thương, gây thiệt hại
1430	| husband	| người chồng
1431	| i.e.	| nghĩalà,tứclà(idest)
1432	| ice	| băng, nước đá
1433	| ice cream	| kem
1434	| idea	| ý tưởng, quan niệm
1435	| ideal	| (thuộc) quan niệm, tư tưởng; lý tưởng
1436	| ideally	| lý tưởng, đúng như lý tưởng
1437	| identify	| nhận biết, nhận ra, nhận dạng
1438	| identity	| cá tính, nét nhận dạng; tính đồng nhất, giống hệt
1439	| if	| nếu, nếu như
1440	| ignore	| phớt lờ, tỏ ra không biết đến
1441	| ill	| ốm
1442	| illegal	| trái luật, bất hợp pháp
1443	| illegally	| trái luật, bất hợp pháp
1444	| illness	| sự đau yếu, ốm, bệnh tật
1445	| illustrate	| minh họa, làm rõ ý
1446	| image	| ảnh, hình ảnh
1447	| imaginary	| tưởng tượng, ảo
1448	| imagination	| trí tưởng tượng, sự tưởng tượng
1449	| imagine	| tưởng tượng, hình dung; tưởng rằng, cho rằng
1450	| immediate	| lập tức, tức thì
1451	| immediately	| ngay lập tức
1452	| immoral	| trái đạo đức, luân lý; xấu xa
1453	| impact	| sự và chạm, sự tác động, ảnh hưởng
1454	| impatient	| thiếu kiên nhẫn, nóng vội
1455	| impatiently	| nóng lòng, sốt ruột
1456	| implication	| sự lôi kéo, sự liên can, điều gợi ý
1457	| imply	| ngụ ý, bao hàm
1458	| import	| import sự nhập, sự nhập khẩu; nhập, nhập khẩu
1459	| importance	| sự quan trọng, tầm quan trọng
1460	| important	| quan trọng, hệ trọng
1461	| importantly	| quan trọng, trọng yếu
1462	| impose	| đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng
1463	| impossible	| không thể làm được, không thể xảy ra
1464	| impress	| ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
1465	| impressed	| được ghi, khắc, in sâu vào
1466	| impression	| ấn tượng, cảm giác; sự in, đóng dấu
1467	| impressive	| gây ấn tượng mạnh; hùng vĩ, oai vệ
1468	| improve	| cải thiện, cái tiến, mở mang
1469	| improvement	| sự cải thiện, sự cải tiến, sự mở mang
1470	| in	| ở, tại, trong; vào
1471	| in addition	| thêm vào
1472	| in case of	| nếu......
1473	| in control of	| trong sự điều khiển của. under control dưới sự điều khiển của
1474	| in exchange for	| trong việc trao đổi về
1475	| inability	| sự bất lực, bất tài
1476	| inch	| insơ (đơn vị đo chiều dài anh bằng 2, 54 cm)
1477	| incident	| việc xảy ra, việc có liên quan
1478	| include	| bao gồm, tính cả
1479	| including	| bao gồm, kể cả
1480	| income	| lợi tức, thu nhập
1481	| increase	| tăng, tăng thêm; sự tăng, sự tăng thêm
1482	| increasingly	| tăng thêm
1483	| indeed	| thật vậy, quả thật
1484	| independence	| sự độc lập, nền độc lập
1485	| independent	| độc lập
1486	| independently	| độc lập
1487	| index	| chỉ số, sự biểu thị
1488	| indicate	| chỉ, cho biết; biểu thị, trình bày ngắn gọn
1489	| indication	| sự chỉ, sự biểu thị, sự biểu lộ
1490	| indirect	| gián tiếp
1491	| indirectly	| gián tiếp
1492	| individual	| riêng, riêng biệt; cá nhân
1493	| indoor	| trong nhà
1494	| indoors	| ở trong nhà
1495	| industrial	| (thuộc) công nghiệp, kỹ nghệ
1496	| industry	| công nghiệp, kỹ nghệ
1497	| inevitable	| không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe
1498	| inevitably	| chắc chắn, chắc hẳn
1499	| infect	| nhiễm, tiêm nhiễm, đầu độc, lan truyền
1500	| infected	| bị nhiễm, bị đầu độc
1501	| infection	| sự nhiễm, sự đầu độc
1502	| infectious	| lây, nhiễm
1503	| influence	| sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
1504	| inform	| báo cho biết, cung cấp tin tức
1505	| informal	| không chính thức, không nghi thức
1506	| information	| tin tức, tài liệu, kiến thức
1507	| ingredient	| phần hợpthành,thànhphần
1508	| initial	| ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)
1509	| initially	| vào lúc ban đầu, ban đầu
1510	| initiative	| bước đầu, sự khởi đầu
1511	| injure	| làm tổn thương, làm hại, xúc phạm
1512	| injured	| bị tổn thương, bị xúc phạm
1513	| injury	| sự làm tổn thương, làm hại; điều hại, điều tổn hại
1514	| ink	| mực
1515	| inner	| ởtrong,nộibộ;thâncận
1516	| innocent	| vô tội, trong trắng, ngây thơ
1517	| insect	| sâu bọ, côn trùng
1518	| insert	| chèn vào, lồng vào
1519	| inside	| mặt trong, phía, phần trong; ở trong, nội bộ
1520	| insist	| cứ nhất định, cứ khăng khăng
1521	| install	| đặt (hệ thống máy móc, thiết bị...)
1522	| instance	| thí dị, ví dụ; trường hợp cá biệt. for instance ví dụ chẳng hạn
1523	| instead	| để thay thế. instead of thay cho
1524	| institute	| viện, học viện
1525	| institution	| sự thành lập, lập; cơ quan, trụ sở
1526	| instruction	| sựdạy,tài liệucungcấp
1527	| instrument	| dụng cụ âm nhạc khí
1528	| insult	| lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
1529	| insulting	| lăng mạ, xỉ nhục
1530	| insurance	| sự bảo hiểm
1531	| intelligence	| sự hiểu biết,tríthôngminh
1532	| intelligent	| thông minh, sáng trí
1533	| intend	| ý định, có ý định
1534	| intended	| có ý định, có dụng ý
1535	| intention	| ý định, mục đích
1536	| interest	| sựthích thú,sựquan tâm,chúý;làm quan tâm, làmchúý
1537	| interested	| cóthích thú,cóquan tâm,cóchúý
1538	| interesting	| làm thích thú, làm quan tâm, làm chú ý
1539	| interior	| phần trong, phía trong; ở trong, ở phía trong
1540	| internal	| ở trong, bên trong, nội địa
1541	| international	| quốc tế
1542	| internet	| liên mạng
1543	| interpret	| giải thích
1544	| interpretation	| sự giải thích
1545	| interrupt	| làm gián đoạn, ngắt lời
1546	| interruption	| sự gián đoạn, sự ngắt lời
1547	| interval	| khoảng (khoãng thời gian), khoảng cách
1548	| interview	| cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng
1549	| into	| vào, vào trong
1550	| introduce	| giới thiệu
1551	| introduction	| sự giới thiệu, lời giới thiệu
1552	| invent	| phát minh, sáng chế
1553	| invention	| sự phát minh, sự sáng chế
1554	| invest	| đầu tư
1555	| investigate	| điều tra, nghiên cứu
1556	| investigation	| sự điều tra, nghiên cứu
1557	| investment	| sự đầu tư, vốn đầu tư
1558	| invitation	| lời mời, sự mời
1559	| invite	| mời
1560	| involve	| bao gồm, bao hàm; thu hút, dồn tâm trí. involved in để hết tâm trí vào
1561	| involvement	| sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
1562	| iron	| sắt; bọc sắt
1563	| irritate	| làm phátcáu, chọctức
1564	| irritated	| tức giận, cáu tiết
1565	| irritating	| làm phátcáu, chọctức
1566	| island	| hòn đảo
1567	| issue	| sự phát ra, sự phát sinh; phát hành, đưa ra
1568	| it	| cái đó, điều đó, con vật đó
1569	| item	| tin tức; khoả(n)., mó(n).., tiết mục
1570	| its	| của cái đó, của điều đó, của con vật đó; cái của điều đó, cái của con vật đó
1571	| itself	| chính cái đó, chính điều đó, chính con vật đó
1572	| jacket	| áo vét
1573	| jam	| mứt, sự mắc kẹt, sự kẹt (máy...)
1574	| january (abbrjan)	| tháng giêng
1575	| jealous	| ghen,, ghen tị
1576	| jeans	| quần bò, quần zin
1577	| jelly	| thạch
1578	| jewellery	| nữ trang, kim hoàn
1579	| job	| việc, việc làm
1580	| join	| gia nhập, tham gia; nối, chắp, ghép
1581	| joint	| chung (giữa 2 người hoặc hơn); chỗ nối, đầu nối
1582	| jointly	| cùng nhau, cùng chung
1583	| joke	| tròcười,lờinóiđùa;nóiđùa,giễu cợt
1584	| journalist	| nhà báo
1585	| journey	| cuộchànhtrình(đường bộ);quãngđường,chặngđườngđi
1586	| joy	| niềm vui, sự vui mừng
1587	| judge	| xét xử, phân xử; quan tòa, thẩm phán
1588	| judgement	| sự xét xử
1589	| juice	| nước ép (rau, củ, quả)
1590	| july (abbr jul)	| tháng 7
1591	| jump	| nhảy; sự nhảy, bước nhảy
1592	| june (abbr jun)	| tháng 6
1593	| junior	| trẻ hơn, ít tuổi hơn; người ít tuổi hơn
1594	| just	| đúng, vưa đủ; vưa mới, chỉ
1595	| justice	| sự công bằng
1596	| justified	| hợp lý, được chứng minh là đúng
1597	| justify	| bào chữa, biện hộ
1598	| keen	| sắc, bén. keen on: say mê, ưa thích
1599	| keep	| giữ, giữ lại
1600	| key	| chìa khóa, khóa, thuộc (khóa)
1601	| keyboard	| bàn phím
1602	| kick	| đá; cú đá
1603	| kid	| con dê non
1604	| kill	| giết, tiêu diệt
1605	| killing	| sự giết chóc, sự tàn sát
1606	| kilogram, kilogramme, kilo (abbr kg)	|  kilôgam
1607	| kilometre	| kilômet
1608	| kilometre, kilometer (abbr k, km)	|  kilômet
1609	| kind	| loại, giống; tử tế, có lòng tốt
1610	| kindly	| tử tế, tốt bụng
1611	| kindness	| sự tử tế, lòng tốt
1612	| king	| vua, quốc vương
1613	| kiss	| hôn, cái hôn
1614	| kitchen	| bếp
1615	| knee	| đầu gối
1616	| knife	| con dao
1617	| knit	| đan, thêu
1618	| knitted	| được đan, được thêu
1619	| knitting	| việc đan; hàng dệt kim
1620	| knock	| đánh, đập; cú đánh
1621	| knot	| cái nơ; điểm nút, điểm trung tâm
1622	| know	| biết
1623	| knowledge	| sự hiểu biết, tri thức
1624	| label	| nhãn, mác; dán nhãn, ghi mác
1625	| laboratory, lab	| phòng thí nghiệm
1626	| labour	| lao động; công việc
1627	| lack	| sự thiếu; thiếu
1628	| lacking	| ngu đần, ngây ngô
1629	| lady	| người yêu, vợ, quý bà, tiểu thư
1630	| lake	| hồ
1631	| lamp	| đèn
1632	| land	| đất, đất canh tác, đất đai
1633	| landscape	| phong cảnh
1634	| lane	| đường nhỏ (làng, hẻm phố)
1635	| language	| ngôn ngữ
1636	| large	| rộng, lớn, to
1637	| largely	| phong phú, ở mức độ lớn
1638	| last	| lần cuối, sau cùng; người cuối cùng; cuối cùng, rốt hết; kéo dài
1639	| late	| trễ, muộn
1640	| later	| chậm hơn
1641	| latest	| muộn nhất, chậm nhất, gần đây nhất
1642	| latter	| sau cùng, gần đây, mới đây
1643	| laugh	| cười; tiếng cười
1644	| launch	| hạ thủy (tàu); khai trương; sự hạ thủy, buổi giới thiệu sản phầm
1645	| law	| luật
1646	| lawyer	| luật sư
1647	| lay	| xếp, đặt, bố trí
1648	| layer	| lớp
1649	| lazy	| lười biếng
1650	| lead	| lãnhđạo, dẫn dắt; sựlãnhđạo, sựhướngdẫn
1651	| leader	| người lãnh đạo, lãnh tụ
1652	| leading	| lãnh đạo, dẫn đầu
1653	| leaf	| lácây,lá(vàng...)
1654	| league	| liên minh, liên hoàn
1655	| lean	| nghiêng, dựa, ỷ vào
1656	| learn	| học, nghiên cứu
1657	| least	| tối thiểu; ít nhất. at least: ít ra, ít nhất, chí ít
1658	| leather	| da thuộc
1659	| leave	| bỏ đi, rời đi, để lại. leave out bỏ quên, bỏ sót
1660	| lecture	| bài diễn thuyết, bài thuyết trình, bài nói chuyện
1661	| left	| bên trái; về phía trái
1662	| leg	| chân(người,thú,bà(n)..)
1663	| legal	| hợp pháp
1664	| legally	| hợp pháp
1665	| lemon	| quả chanh
1666	| lend	| cho vay, cho mượn
1667	| length	| chiều dài, độ dài
1668	| less	| nhỏ bé, ít hơn; số lượng ít hơn
1669	| lesson	| bài học
1670	| let	| cho phép, để cho
1671	| letter	| thư; chữ cái, mẫu tự
1672	| level	| trình độ, cấp, vị trí; bằng, ngang bằng
1673	| library	| thư viện
1674	| licence	| bằng, chứng chỉ, bằng cử nhân; sự cho phép
1675	| license	| cấp chứng chỉ, cấp bằng, cho phép
1676	| lid	| nắp, vung (xoong, nồi..); mi mắt (eyelid)
1677	| lie	| nói dối; lời nói dối, sự dối trá
1678	| life	| đời, sự sống
1679	| lift	| giơ lên, nhấc lên; sự nâng, sự nhấc lên
1680	| light	| ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
1681	| lightly	| nhẹ nhàng
1682	| like	| giống như; thích; như
1683	| likely	| có thể đúng, có thể xảy ra, có khả năng; có thể, chắc vậy
1684	| limit	| giới hạn, ranh giới; giới hạn, hạn chế
1685	| limited	| hạn chế, có giới hạn
1686	| line	| dây, đường, tuyến
1687	| link	| mắt xích, mối liên lạc; liên kết, kết nối
1688	| lip	| môi
1689	| liquid	| chất lỏng; lỏng, êm ái, du dương, không vững
1690	| list	| danh sách; ghi vào danh sách
1691	| listen	| nghe, lắng nghe
1692	| literature	| văn chương, văn học
1693	| litre	| lít
1694	| little	| nhỏ, bé, chút ít; không nhiều; một chút
1695	| live	| sống, hoạt động
1696	| lively	| sống, sinh động
1697	| living	| sống, đang sống
1698	| load	| gánh nặng, vật nặng; chất, chở
1699	| loan	| sự vay mượn
1700	| local	| địa phương, bộ phận, cục bộ
1701	| locally	| có tính chat địa phương, cục bộ
1702	| locate	| xác định vị trí, định vị
1703	| located	| định vị
1704	| location	| vị trí, sự định vị
1705	| lock	| khóa; khóa
1706	| logic	| lô gic
1707	| logical	| hợp lý, hợp logic
1708	| lonely	| cô đơn, bơ vơ
1709	| long	| dài, xa; lâu
1710	| look	| nhìn; cái nhìn
1711	| look after	| trôngnom,chămsóc. look at:nhìn,ngắm,xem.look fortìmkiếm. look forward to: mong đợi cách hân hoan
1712	| loose	| lỏng, không chặt
1713	| loosely	| lỏng lẻo
1714	| lord	| chúa, vua
1715	| lorry	| xe tải
1716	| lose	| mất,thua,lạc
1717	| loss	| sự mất, sự thua
1718	| lost	| thua, mất
1719	| lot, a lot	| số lượng lớn; rất nhiều
1720	| loud	| to, inh ỏi, ầm ĩ; to, lớn (nói)
1721	| loudly	| ầm ĩ, inh ỏi
1722	| love	| tình yêu, lòng yêu thương; yêu, thích
1723	| lovely	| đẹp, xinh xắn, có duyên
1724	| lover	| người yêu, người tình
1725	| low	| thấp, bé, lùn
1726	| loyal	| trung thành, trung kiên
1727	| luck	| may mắn, vận may
1728	| lucky	| gặp may, gặp may mắn, hạnh phúc
1729	| luggage	| hành lý
1730	| lump	| cục, tảng, miếng; cái bướu
1731	| lunch	| bữa ăn trưa
1732	| lung	| phổi
1733	| machine	| máy, máy móc
1734	| machinery	| máy móc, thiết bị
1735	| mad	| điên, mất trí; bực điên người
1736	| magazine	| tạp chí
1737	| magic	| ma thuật, ảo thuật; (thuộc) ma thuật, ảo thuật
1738	| mail	| thư tư, bưu kiện; gửi qua bưu điệ
1739	| main	| chính, chủ yếu, trọng yếu nhất
1740	| mainly	| chính, chủ yếu, phần lớn
1741	| maintain	| giữ gìn, duy trì, bảo vệ
1742	| major	| lớn, nhiều hơn, trọng đại, chủ yếu
1743	| majority	| phần lớn, đa số, ưu thế
1744	| make	| làm, chế tạo; sự chế tạo. make st up: làm thành, cấu thành, gộp thành
